	Trial	RiskType	RewardType	ResponseType	Reward	Shock	SubjID
20	21	1	1	1	0.34	0	3
21	22	3	3	1	0.7	1	3
22	23	2	2	1	0.65	0	3
23	24	2	2	1	0.49	1	3
24	25	2	2	1	0.57	0	3
25	26	2	1	1	0.22	1	3
26	27	1	2	1	0.4	1	3
27	28	2	1	1	0.27	1	3
28	29	1	3	1	0.88	0	3
29	30	3	1	1	0.09	1	3
30	31	3	2	1	0.44	1	3
31	32	3	3	1	0.95	1	3
32	33	2	3	1	0.75	1	3
33	34	2	1	1	0.06	1	3
34	35	2	3	1	0.83	0	3
35	36	1	3	1	0.66	0	3
36	37	3	3	1	0.84	1	3
37	38	1	3	1	0.93	0	3
38	39	3	1	1	0.2	1	3
39	40	3	2	1	0.41	1	3
40	41	1	2	1	0.59	0	3
41	42	1	3	1	0.85	0	3
42	43	3	3	1	0.92	1	3
43	44	2	3	1	0.8	0	3
44	45	1	2	1	0.37	0	3
45	46	1	3	1	0.8	1	3
46	47	2	2	1	0.62	0	3
47	48	2	1	1	0.11	1	3
48	49	3	2	1	0.5	1	3
49	50	3	2	1	0.63	1	3
50	51	2	3	1	0.89	0	3
51	52	1	3	1	0.71	0	3
52	53	2	1	1	0.19	1	3
53	54	2	2	1	0.46	0	3
54	55	3	1	1	0.07	0	3
55	56	3	2	1	0.55	1	3
56	57	2	3	1	0.67	1	3
57	58	2	1	1	0.25	0	3
58	59	3	1	1	0.28	1	3
59	60	1	1	1	0.32	0	3
60	61	3	3	1	0.68	1	3
61	62	1	1	1	0.07	0	3
62	63	2	2	1	0.54	1	3
63	64	2	3	1	0.75	1	3
64	65	1	1	1	0.23	0	3
65	66	1	2	1	0.5	0	3
66	67	3	1	1	0.14	1	3
67	68	2	1	1	0.32	0	3
68	69	1	2	1	0.45	0	3
69	70	2	2	1	0.38	1	3
70	71	3	3	1	0.76	1	3
71	72	1	1	1	0.16	0	3
72	73	3	2	1	0.39	1	3
73	74	2	1	1	0.24	1	3
74	75	2	3	1	0.86	0	3
75	76	1	2	1	0.56	0	3
76	77	3	3	1	0.81	1	3
77	78	2	3	1	0.94	0	3
78	79	2	2	1	0.51	1	3
79	80	3	1	1	0.33	1	3
80	81	1	2	1	0.42	0	3
81	82	1	3	1	0.69	0	3
82	83	2	3	1	0.72	0	3
83	84	1	1	1	0.12	0	3
84	85	3	2	1	0.55	1	3
85	86	1	1	1	0.21	0	3
86	87	3	2	1	0.47	1	3
87	88	3	1	1	0.12	1	3
88	89	2	1	1	0.17	1	3
89	90	1	2	1	0.64	0	3
90	91	1	1	1	0.05	0	3
91	92	1	3	1	0.85	0	3
92	93	1	1	1	0.29	0	3
93	94	1	3	1	0.77	1	3
94	95	3	1	1	0.17	1	3
95	96	2	3	1	0.78	1	3
96	97	2	2	1	0.43	1	3
97	98	3	3	1	0.65	1	3
98	99	3	3	1	0.73	0	3
99	100	2	1	1	0.3	0	3
100	101	1	3	1	0.9	0	3
101	102	3	1	1	0.26	1	3
102	103	1	2	1	0.48	0	3
103	104	2	1	1	0.08	0	3
104	105	3	3	1	0.9	1	3
105	106	2	2	1	0.6	1	3
106	107	2	2	1	0.35	0	3
107	108	3	2	1	0.6	1	3
0	1	1	2	1.0	0.53	0	4
1	2	2	1	0.0	0.13	0	4
2	3	2	3	1.0	0.91	1	4
3	4	3	1	0.0	0.15	1	4
4	5	1	2	1.0	0.61	0	4
5	6	3	1	0.0	0.31	1	4
6	7	3	3	0.0	0.79	1	4
7	8	1	1	1.0	0.1	0	4
8	9	3	2	1.0	0.58	1	4
9	10	3	2	0.0	0.36	1	4
10	11	1	3	1.0	0.82	0	4
11	12	3	1	0.0	0.22	1	4
12	13	3	3	1.0	0.87	0	4
13	14	1	2	1.0	0.45	0	4
14	15	2	3	1.0	0.7	0	4
15	16	1	1	1.0	0.27	0	4
16	17	2	2	1.0	0.4	0	4
17	18	1	1	1.0	0.18	0	4
18	19	1	3	1.0	0.74	0	4
19	20	3	2	1.0	0.52	1	4
20	21	1	1	1.0	0.34	0	4
21	22	3	3	1.0	0.7	1	4
22	23	2	2	1.0	0.65	0	4
23	24	2	2	1.0	0.49	1	4
24	25	2	2	1.0	0.57	0	4
25	26	2	1	1.0	0.22	1	4
26	27	1	2	1.0	0.4	1	4
27	28	2	1	1.0	0.27	1	4
28	29	1	3	1.0	0.88	0	4
29	30	3	1	0.0	0.09	1	4
30	31	3	2	1.0	0.44	1	4
31	32	3	3	1.0	0.95	1	4
32	33	2	3	1.0	0.75	1	4
33	34	2	1	0.0	0.06	1	4
34	35	2	3	1.0	0.83	0	4
35	36	1	3	1.0	0.66	0	4
36	37	3	3	1.0	0.84	1	4
37	38	1	3	1.0	0.93	0	4
38	39	3	1	0.0	0.2	1	4
39	40	3	2	0.0	0.41	1	4
40	41	1	2	1.0	0.59	0	4
41	42	1	3	1.0	0.85	0	4
42	43	3	3	1.0	0.92	1	4
43	44	2	3	1.0	0.8	0	4
44	45	1	2	1.0	0.37	0	4
45	46	1	3	1.0	0.8	1	4
46	47	2	2	1.0	0.62	0	4
47	48	2	1	0.0	0.11	1	4
48	49	3	2	0.0	0.5	1	4
49	50	3	2	1.0	0.63	1	4
50	51	2	3	1.0	0.89	0	4
51	52	1	3	1.0	0.71	0	4
52	53	2	1	1.0	0.19	1	4
53	54	2	2	1.0	0.46	0	4
54	55	3	1	0.0	0.07	0	4
56	57	2	3	1.0	0.67	1	4
